FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Latitude,Longitude
520697,12/00321/MIXED,Fit For Life Bootcamps,Other catering premises,7841,Pendragon House,Warminster Road,Claverton,Bath,BA2 7BL,5,fhrs_5_en-GB,2013-02-11,5,0,5,51.36203200000000,51.36203200000000
205687,10/00270/MIXED,Fitness First,Other catering premises,7841,Cannons Health Club  Kingsmead Leis,5 - 10 James Street West,City Centre,Bath,BA1 2BX,Exempt,fhrs_exempt_en-GB,2014-02-19,"","","",51.38083400000000,51.38083400000000
204358,14120/0021/0/000,Flan O'Briens,Pub/bar/nightclub,7843,21 Westgate Street,City Centre,Bath,"",BA1 1EP,4,fhrs_4_en-GB,2014-04-24,5,10,5,51.38149100000000,51.38149100000000
520710,13/00005/FOOD,Flour Fairy,Other catering premises,7841,"","","","","",5,fhrs_5_en-GB,2013-03-05,5,5,5,"",""
204836,15999/0003/A/000,Floyds Takeaway,Takeaway/sandwich shop,7844,Floyds Take Away,3A Fortescue Road,Radstock,Bath And North East Somerset,BA3 3PH,3,fhrs_3_en-GB,2010-02-25,10,10,10,51.29202400000000,51.29202400000000
554689,13/00048/FOOD,Fondant Fillies,Other catering premises,7841,"","","","","",5,fhrs_5_en-GB,2013-05-20,5,5,5,"",""
499666,13/00001/MIXED,Food To Go,Takeaway/sandwich shop,7844,Waitrose Limited,The Podium,Northgate Street,City Centre,BA1 5AL,5,fhrs_5_en-GB,2012-12-07,0,0,0,51.38328100000000,51.38328100000000
204810,04/00108/FOOD,Footsteps (South West) Ltd,Hospitals/Childcare/Caring Premises,5,Footsteps Nursery,Bath Community Academy,Rush Hill,Southdown,BA2 2QL,5,fhrs_5_en-GB,2014-03-11,5,5,5,51.36405000000000,51.36405000000000
204046,11/00168/MIXED,Footsteps Nursery (Paulton),Hospitals/Childcare/Caring Premises,5,Paulton Swimming Baths,Plumptre Close,Paulton,Bristol,BS39 7QY,5,fhrs_5_en-GB,2011-10-07,5,0,5,51.30332900000000,51.30332900000000
204103,01560/0172/0/000,Forester And Flower,Pub/bar/nightclub,7843,Foresters' Arms,172 Bradford Road,Combe Down,Bath,BA2 5BZ,4,fhrs_4_en-GB,2013-04-23,5,5,10,51.35961000000000,51.35961000000000
203951,08870/0172/0/000,Forres House Guest House,Hotel/bed & breakfast/guest house,7842,Forres House,172 Newbridge Road,Newbridge,Bath,BA1 3LE,5,fhrs_5_en-GB,2009-05-05,5,5,0,51.38694700000000,51.38694700000000
204367,08/00231/MIXED,Fortune Cookie,Takeaway/sandwich shop,7844,378 Wellsway,Bath,Bath And North East Somerset,"",BA2 5RN,3,fhrs_3_en-GB,2011-05-17,5,10,10,51.36053400000000,51.36053400000000
205189,17405/0000/2/000,Fosseway School,School/college/university,7845,Fosse Way School,Longfellow Road,Westfield,Radstock,BA3 3AL,5,fhrs_5_en-GB,2011-12-02,0,0,0,51.28320500000000,51.28320500000000
205751,11690/1200/3/001,Fosters Rooms Limited,Pub/bar/nightclub,7843,Hamptons Stand  Recreation Ground,Pulteney Mews,Bathwick,Bath,BA2 4DS,5,fhrs_5_en-GB,2014-03-14,5,5,5,51.38413300000000,51.38413300000000
204817,10420/0014/0/000,Fourteen Raby Place,Hotel/bed & breakfast/guest house,7842,14 Raby Place,Bathwick,Bath,"",BA2 4EH,4,fhrs_4_en-GB,2012-10-15,5,5,10,51.38364800000000,51.38364800000000
